study_hours,sleep_hours,attendance,previous_score,assignments_completed,concentration,final_score
3.1,5.2,74.3,73.4,10,3.2,71.5
9.3,8.6,67.0,52.1,6,9.5,92.7
1.9,7.6,58.1,83.5,2,3.6,62.1
5.5,6.1,75.4,50.8,6,8.1,79.4
1.3,4.3,62.1,76.6,3,4.9,51.2
6.8,6.7,74.9,57.3,10,3.8,80.0
6.9,6.7,85.0,44.5,8,9.9,91.1
1.0,5.1,97.5,85.0,6,5.0,73.3
4.6,4.7,79.0,54.9,10,8.8,85.9
8.2,4.4,93.8,44.4,2,6.2,81.9
4.6,6.2,83.8,58.2,8,3.1,75.4
3.6,8.4,82.8,88.6,7,3.6,80.6
6.1,6.9,72.8,59.4,7,4.6,75.7
7.9,4.4,83.5,71.7,5,9.3,86.6
8.3,8.5,65.6,50.2,5,4.2,86.4
2.0,8.2,58.4,95.3,9,6.2,72.0
7.0,8.9,83.9,97.2,7,9.0,98.6
6.5,4.8,58.1,66.8,6,8.6,77.9
1.2,6.5,56.7,62.6,6,3.5,54.7
8.7,8.7,82.7,70.4,9,7.1,100.0
0.9,9.0,80.7,52.5,9,6.5,67.8
9.6,6.5,91.5,88.9,3,6.5,98.1
4.7,6.4,78.5,50.9,7,9.4,83.2
4.2,8.3,85.6,44.9,7,3.5,76.9
3.2,8.0,84.5,92.8,4,5.3,80.5
6.0,4.8,70.7,96.2,8,3.9,83.3
5.8,7.5,69.8,49.2,10,3.7,76.3
6.9,6.8,55.8,59.3,5,5.4,76.6
10.0,4.9,68.3,86.1,10,8.4,100.0
8.4,8.9,56.7,60.9,4,7.2,87.0
7.1,7.4,95.6,82.4,2,5.9,88.8
6.9,5.3,75.0,58.0,9,4.6,82.9
8.0,9.0,63.7,80.0,9,6.2,100.0
3.2,6.1,78.7,96.1,5,8.6,83.2
6.6,8.8,80.0,47.7,10,9.0,94.7
3.2,8.2,67.3,92.7,4,8.8,87.7
8.3,8.9,96.9,65.2,8,6.5,100.0
